UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2010,9,4146642,2121251,2025391,1611551,1531464,310468,302128,25697,24498,96140,93044,4947,4756,72448,69501,1677138,1594363,347243,337746,41393,39628,123422,118927,11062,10507,1643162,1570793,1175939,1117659,291346,283494,17931,17312,92630,89674,3600,3418,61716,59236,1231973,1171423,323084,314215,29935,28874,116464,112335,8396,7957,478089,454598,435612,413805,19122,18634,7766,7186,3510,3370,1347,1338,10732,10265,445165,422940,24159,23531,11458,10754,6958,6592,2666,2550
R,1,2010,10,3930527,2011531,1918996,1535268,1456605,294963,286649,24243,23105,85641,83526,4569,4321,66847,64790,1595776,1515295,329415,320402,38867,37189,110170,107017,10117,9659,1581707,1509026,1144647,1084462,276863,269270,17197,16465,82358,80295,3270,3116,57372,55418,1196733,1134846,306915,298568,28565,27272,103829,100800,7651,7350,429824,409970,390621,372143,18100,17379,7046,6640,3283,3231,1299,1205,9475,9372,399043,380449,22500,21834,10302,9917,6341,6217,2466,2309
R,1,2010,11,4007126,2048546,1958580,1561691,1484000,306856,298561,24920,23740,84676,83852,4589,4354,65814,64073,1621392,1542050,340672,331946,39445,37808,108511,106827,10113,9491,1621403,1551409,1173374,1114288,288676,280936,17913,17280,81381,80769,3344,3138,56715,54998,1224969,1164250,318286,310055,29258,28226,102275,100833,7813,7242,427143,407171,388317,369712,18180,17625,7007,6460,3295,3083,1245,1216,9099,9075,396423,377800,22386,21891,10187,9582,6236,5994,2300,2249
R,1,2010,12,3920274,2006952,1913322,1530344,1452193,301078,291064,23919,23069,85929,83333,4502,4138,61180,59525,1585682,1506006,332342,321622,37562,36219,108311,104998,9568,9114,1593437,1520446,1153911,1094931,283632,274238,17183,16720,82806,80354,3288,3008,52617,51195,1201632,1141324,310974,300877,27754,26981,102441,99399,7358,7027,413515,392876,376433,357262,17446,16826,6736,6349,3123,2979,1214,1130,8563,8330,384050,364682,21368,20745,9808,9238,5870,5599,2210,2087
R,1,2010,13,3977578,2034383,1943195,1557046,1477675,302765,294833,24315,23438,86101,84917,4497,4208,59659,58124,1611019,1530101,332583,324149,38085,36803,107895,106088,9693,9260,1622525,1551485,1181718,1120882,285525,278347,17575,17074,82978,81980,3277,3087,51452,50115,1228368,1166179,311563,304059,28419,27654,102210,100509,7502,7158,411858,391710,375328,356793,17240,16486,6740,6364,3123,2937,1220,1121,8207,8009,382651,363922,21020,20090,9666,9149,5685,5579,2191,2102
R,1,2010,14,4079108,2089874,1989234,1596022,1511524,318132,307928,24716,23753,87285,84950,4669,4439,59050,56640,1649100,1562351,347158,336393,38883,37164,109012,105477,9979,9434,1672378,1592166,1215447,1149679,300476,290934,17910,17403,84283,82112,3360,3254,50902,48784,1261281,1193573,325747,315786,29198,28069,103452,100101,7706,7276,417496,397068,380575,361845,17656,16994,6806,6350,3002,2838,1309,1185,8148,7856,387819,368778,21411,20607,9685,9095,5560,5376,2273,2158
R,1,2010,15,4117090,2109469,2007621,1607776,1521184,328698,319926,25389,24425,86653,82592,4780,4396,56173,55098,1658085,1570467,355943,347233,39466,38137,107208,102450,9978,9317,1695337,1615351,1229964,1164065,311147,302877,18597,17970,83683,79666,3510,3252,48436,47521,1273394,1206641,334865,326656,29829,28930,101873,97202,7763,7269,414132,392270,377812,357119,17551,17049,6792,6455,2970,2926,1270,1144,7737,7577,384691,363826,21078,20577,9637,9207,5335,5248,2215,2048
R,1,2010,16,4175586,2141659,2033927,1630085,1538818,339378,329920,26099,25390,86874,82348,4725,4549,54498,52902,1678872,1585993,365101,355425,40379,39397,106890,101301,9741,9526,1726003,1642603,1250737,1182326,321641,312832,19183,18924,83995,79559,3471,3427,46976,45535,1292900,1222998,344040,335008,30640,30192,101605,96225,7576,7494,415656,391324,379348,356492,17737,17088,6916,6466,2879,2789,1254,1122,7522,7367,385972,362995,21061,20417,9739,9205,5285,5076,2165,2032
R,1,2010,17,4306390,2209347,2097043,1683479,1587367,351963,341810,27524,26810,88210,84199,4852,4614,53319,52243,1730981,1633763,376217,366226,42099,41397,108245,103167,9957,9590,1785168,1700330,1295569,1225865,334520,324754,20309,19993,85185,81309,3620,3446,45965,44963,1336548,1265846,355547,345898,32058,31822,103006,98054,7837,7530,424179,396713,387910,361502,17443,17056,7215,6817,3025,2890,1232,1168,7354,7280,394433,367917,20670,20328,10041,9575,5239,5113,2120,2060
R,1,2010,18,4336968,2223706,2113262,1697925,1604214,353105,343014,28163,27240,87732,83066,4919,4573,51862,51155,1743965,1649523,375973,365920,43216,42109,107135,101857,10028,9657,1802236,1723455,1312299,1249151,335724,326135,20906,20558,84895,80243,3735,3447,44677,43921,1351977,1288045,355509,345856,33186,32616,102085,96836,7947,7679,421470,389807,385626,355063,17381,16879,7257,6682,2837,2823,1184,1126,7185,7234,391988,361478,20464,20064,10030,9493,5050,5021,2081,1978
