Age,Pop
0-4,395569
5-9,458849
10-14,488665
15-19,474012
20-24,479236
25-29,506923
30-34,551429
35-39,612770
40-44,721733
45-49,823340
50-54,840172
55-59,751937
60-64,627132
65-69,561986
70-74,546328
75-79,449881
80-84,379655
85-89,229822
90-94,100183
95-99,25662
100+,2318
